اطلاعات ورود به سیستم,,,,عملیات,,,سند,,,,
شناسه,شعبه,سال مالی,کاربر,تاریخ,زمان,نوع,سیستم,نوع,شماره,تاریخ,توضیحات
,شركت بنا بام بيستون (سهامي خاص),1405,سپهريان4,1405/04/09,08:58:41,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:58:35,موجوديت جديد,انبار,سند انبار,4910,1405/04/09,سند تاييد درخواست كالا با شماره 4910 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,سپهريان1,1405/04/09,08:58:22, ويرايش موجوديت,خزانه داري,سند حسابداري,2792,1405/04/07,سند عمومي با شماره 2792 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:57:51, ويرايش موجوديت,انبار,سند انبار,6258,1405/04/09,سند درخواست كالا از انبار با شماره 6258 ثبت شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,پوريامومني2,1405/04/09,08:57:31, ويرايش موجوديت,خزانه داري,سند حسابداري,7322,1404/09/27,سند عمومي با شماره 7322 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,سپهريان1,1405/04/09,08:57:30, ويرايش موجوديت,خزانه داري,سند حسابداري,2792,1405/04/07,سند عمومي با شماره 2792 ذخيره شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,كسري_دهقان2,1405/04/09,08:57:13,ورود موفق,,نشست,,,
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:57:09, ويرايش موجوديت,خزانه داري,سند حسابداري,2527,1404/09/18,سند عمومي با شماره 2527 تاييد شد
,تفتان ره ساز پارس,1405,فرزانه15,1405/04/09,08:56:40,ورود موفق,,نشست,,,
,تفتان ره ساز پارس,1405,محدثه_قاسمي15,1405/04/09,08:56:11, ويرايش موجوديت,خزانه داري,سند حسابداري,2397,1404/10/16,سند عمومي با شماره 2397 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:55:41, ويرايش موجوديت,انبار,سند انبار,6248,1405/04/08,سند درخواست كالا از انبار با شماره 6248 ثبت شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:55:39, ويرايش موجوديت,خزانه داري,سند حسابداري,3646,1404/12/19,سند عمومي با شماره 3646 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,08:55:33, ويرايش موجوديت,انبار,سند انبار,6271,1405/04/09,سند درخواست كالا از انبار با شماره 6271 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,08:55:21,موجوديت جديد,انبار,سند انبار,4909,1405/04/09,سند تاييد درخواست كالا با شماره 4909 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,08:55:11, ويرايش موجوديت,انبار,سند انبار,6270,1405/04/09,سند درخواست كالا از انبار با شماره 6270 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ضيا,1405/04/09,08:55:01,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,08:54:52, ويرايش موجوديت,انبار,سند انبار,6269,1405/04/09,سند درخواست كالا از انبار با شماره 6269 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,اميررضارحيمي3,1405/04/09,08:54:27,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,08:54:25, ويرايش موجوديت,انبار,سند انبار,6268,1405/04/09,سند درخواست كالا از انبار با شماره 6268 ثبت شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:54:17, ويرايش موجوديت,خزانه داري,سند حسابداري,3626,1404/12/18,سند عمومي با شماره 3626 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,08:53:44, ويرايش موجوديت,انبار,سند انبار,6244,1405/04/08,سند درخواست كالا از انبار با شماره 6244 ثبت شد
,تفتان ره ساز پارس,1405,محدثه_قاسمي15,1405/04/09,08:53:40,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,جلالي1,1405/04/09,08:53:30,موجوديت جديد,حسابداري,سند حسابداري,2817,1405/02/10,سند عمومي با شماره ثابت 2817 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرزانه1,1405/04/09,08:53:23,موجوديت جديد,خزانه داري,سند حسابداري,2816,1405/04/06,سند  با شماره 2816 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,سپهريان1,1405/04/09,08:53:18,ورود موفق,,نشست,,,
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:53:15, ويرايش موجوديت,خزانه داري,سند حسابداري,3591,1404/12/17,سند عمومي با شماره 3591 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:52:53, ويرايش موجوديت,انبار,سند انبار,6233,1405/04/08,سند درخواست كالا از انبار با شماره 6233 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:52:44, ويرايش موجوديت,انبار,سند انبار,6234,1405/04/08,سند درخواست كالا از انبار با شماره 6234 ثبت شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:52:29, ويرايش موجوديت,خزانه داري,سند حسابداري,3570,1404/12/16,سند عمومي با شماره 3570 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:52:27, ويرايش موجوديت,انبار,سند انبار,6233,1405/04/08,سند درخواست كالا از انبار با شماره 6233 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:52:17, ويرايش موجوديت,انبار,سند انبار,6233,1405/04/08,سند درخواست كالا از انبار با شماره 6233 ثبت شد
,تفتان ره ساز پارس,1404,سيدمرتضي_حسيني15,1405/04/09,08:52:12,ورود موفق,,نشست,,,
,شركت دنا بنيان بيرجند (سهامي خاص),1404,پوريامومني2,1405/04/09,08:52:09,ورود موفق,,نشست,,,
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:51:52, ويرايش موجوديت,خزانه داري,سند حسابداري,1894,1404/09/08,سند عمومي با شماره 1894 تاييد شد
,شركت بنا بام بيستون (سهامي خاص),1404,سپهريان4,1405/04/09,08:51:46,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,نيكنام1,1405/04/09,08:51:30,موجوديت جديد,حسابداري,سند حسابداري,2815,1405/03/20,سند عمومي با شماره ثابت 2815 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,باباپور1,1405/04/09,08:51:19, ويرايش موجوديت,انبار,سند انبار,6271,1405/04/09,سند درخواست كالا از انبار با شماره 6271 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:51:18,موجوديت جديد,انبار,سند انبار,4908,1405/04/09,سند تاييد درخواست كالا با شماره 4908 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:51:07, ويرايش موجوديت,انبار,سند انبار,6226,1405/04/08,سند درخواست كالا از انبار با شماره 6226 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,باباپور1,1405/04/09,08:51:03,موجوديت جديد,انبار,سند انبار,6271,1405/04/09,سند درخواست كالا از انبار با شماره 6271 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:50:52, ويرايش موجوديت,انبار,سند انبار,6231,1405/04/08,سند درخواست كالا از انبار با شماره 6231 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,08:50:36,موجوديت جديد,انبار,سند انبار,4907,1405/04/09,سند تاييد درخواست كالا با شماره 4907 ثبت شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:50:36, ويرايش موجوديت,خزانه داري,سند حسابداري,1894,1404/09/08,سند عمومي با شماره 1894 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,جابرسرگزي1,1405/04/09,08:50:29,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:50:27, ويرايش موجوديت,انبار,سند انبار,6231,1405/04/08,سند درخواست كالا از انبار با شماره 6231 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,08:50:20, ويرايش موجوديت,انبار,سند انبار,6256,1405/04/09,سند درخواست كالا از انبار با شماره 6256 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/09,08:50:05,موجوديت جديد,انبار,سند انبار,4185,1405/03/07,سند حواله مصرف ماشين آلات با شماره 4185 ثبت شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:49:51, ويرايش موجوديت,خزانه داري,سند حسابداري,1817,1404/09/01,سند عمومي با شماره 1817 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:49:29,موجوديت جديد,انبار,سند انبار,4906,1405/04/09,سند تاييد درخواست كالا با شماره 4906 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,پرويز_هرمزي1,1405/04/09,08:49:23,موجوديت جديد,انبار,سند انبار,6270,1405/04/09,سند درخواست كالا از انبار با شماره 6270 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:49:18, ويرايش موجوديت,انبار,سند انبار,6227,1405/04/08,سند درخواست كالا از انبار با شماره 6227 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:48:49, ويرايش موجوديت,انبار,سند انبار,6205,1405/04/08,سند درخواست كالا از انبار با شماره 6205 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,اميررضارحيمي1,1405/04/09,08:48:16,ورود موفق,,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,08:48:01,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:47:53, ويرايش موجوديت,انبار,سند انبار,6205,1405/04/08,سند درخواست كالا از انبار با شماره 6205 ثبت شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:47:48, ويرايش موجوديت,خزانه داري,سند حسابداري,1842,1404/09/05,سند عمومي با شماره 1842 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:47:45, ويرايش موجوديت,انبار,سند انبار,6205,1405/04/08,سند درخواست كالا از انبار با شماره 6205 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,اميررضارحيمي3,1405/04/09,08:47:40, ويرايش موجوديت,حسابداري,سند حسابداري,3230,1404/06/31,سند عمومي با شماره 3230 تاييد شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,جوانمرد2,1405/04/09,08:47:33,موجوديت جديد,حسابداري,سند حسابداري,1102,1405/03/22,سند عمومي با شماره ثابت 1102 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,كاظميان1,1405/04/09,08:46:11,موجوديت جديد,خزانه داري,سند حسابداري,2814,1405/03/23,سند عمومي با شماره 2814 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,كاظميان1,1405/04/09,08:45:44,موجوديت جديد,خزانه داري,سند خزانه داري,501,1405/03/23,سند صورت هزينه تنخواه با شماره 501 ذخيره شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:45:42, ويرايش موجوديت,خزانه داري,سند حسابداري,1385,1404/07/21,سند عمومي با شماره 1385 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:45:40, ويرايش موجوديت,انبار,سند انبار,6245,1405/04/08,سند درخواست كالا از انبار با شماره 6245 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرزانه1,1405/04/09,08:45:10, ويرايش موجوديت,خزانه داري,سند خزانه داري,348,1405/04/06,سند اعلاميه برداشت ريالي با شماره 348 ذخيره شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:45:08, ويرايش موجوديت,خزانه داري,سند حسابداري,1426,1404/07/26,سند عمومي با شماره 1426 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,هرمزي2,1405/04/09,08:44:12,موجوديت جديد,انبار,سند انبار,1570,1405/04/09,سند رسيد انتقال بين انبار با شماره 1570 ثبت شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:43:58, ويرايش موجوديت,خزانه داري,سند حسابداري,1414,1404/07/24,سند عمومي با شماره 1414 تاييد شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:42:53, ويرايش موجوديت,خزانه داري,سند حسابداري,1432,1404/07/27,سند عمومي با شماره 1432 تاييد شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,جوانمرد2,1405/04/09,08:42:48,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,بهرامي1بيرجند,1405/04/09,08:42:22,موجوديت جديد,انبار,سند انبار,4184,1405/04/08,سند حواله مصرف ماشين آلات با شماره 4184 ثبت شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:42:09, ويرايش موجوديت,خزانه داري,سند حسابداري,1472,1404/07/21,سند عمومي با شماره 1472 تاييد شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:42:00, ويرايش موجوديت,خزانه داري,سند حسابداري,1472,1404/07/21,سند عمومي با شماره 1472 ذخيره شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:41:45, ويرايش موجوديت,خزانه داري,سند حسابداري,1472,1404/07/21,سند عمومي با شماره 1472 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,08:41:41, ويرايش موجوديت,انبار,سند انبار,6267,1405/04/09,سند درخواست كالا از انبار با شماره 6267 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرزانه1,1405/04/09,08:41:09,موجوديت جديد,خزانه داري,سند خزانه داري,10,1405/04/06,سند پرداخت اسناد تضميني با شماره 10 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,برزگررشتخواري,1405/04/09,08:40:37,موجوديت جديد,انبار,سند انبار,2732,1405/03/28,سند حواله مصرف  با شماره 2732 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,علايي,1405/04/09,08:40:25,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,باباپور1,1405/04/09,08:40:25,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,اجنوردي1,1405/04/09,08:40:19, ويرايش موجوديت,انبار,سند انبار,2726,1405/04/07,سند حواله مصرف  با شماره 2726 ثبت شد
,صولت پارس آمود,1404,قاسمي7,1405/04/09,08:40:15,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,پرويز_هرمزي1,1405/04/09,08:40:07,موجوديت جديد,انبار,سند انبار,6269,1405/04/09,سند درخواست كالا از انبار با شماره 6269 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,اميررضارحيمي3,1405/04/09,08:40:01,ورود موفق,,نشست,,,
,تفتان ره ساز پارس,1405,پوريامومني15,1405/04/09,08:39:52,موجوديت جديد,خزانه داري,سند حسابداري,449,1405/03/22,سند عمومي با شماره 449 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,كسري_دهقان1,1405/04/09,08:39:25,موجوديت جديد,حسابداري,سند حسابداري,2813,1405/02/09,سند عمومي با شماره ثابت 2813 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,اميررضارحيمي1,1405/04/09,08:39:20,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,جعفري1,1405/04/09,08:38:37,موجوديت جديد,حسابداري,سند حسابداري,2812,1405/03/22,سند عمومي با شماره ثابت 2812 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,08:37:56,موجوديت جديد,انبار,سند انبار,4905,1405/04/09,سند تاييد درخواست كالا با شماره 4905 ثبت شد
,تفتان ره ساز پارس,1404,قاسمي15,1405/04/09,08:37:51,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,08:37:46, ويرايش موجوديت,انبار,سند انبار,6163,1405/04/07,سند درخواست كالا از انبار با شماره 6163 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:37:37,موجوديت جديد,انبار,سند انبار,4904,1405/04/09,سند تاييد درخواست كالا با شماره 4904 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,برزگررشتخواري,1405/04/09,08:37:29, ويرايش موجوديت,انبار,سند انبار,2731,1405/03/27,سند حواله مصرف  با شماره 2731 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:37:25, ويرايش موجوديت,انبار,سند انبار,6232,1405/04/08,سند درخواست كالا از انبار با شماره 6232 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,مروي,1405/04/09,08:37:19,موجوديت جديد,انبار,سند انبار,1569,1405/04/09,سند رسيد انتقال بين انبار با شماره 1569 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,برزگررشتخواري,1405/04/09,08:36:57, ويرايش موجوديت,انبار,سند انبار,2731,1405/04/09,سند حواله مصرف  با شماره 2731 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,پرويز_هرمزي1,1405/04/09,08:36:31,موجوديت جديد,انبار,سند انبار,6268,1405/04/09,سند درخواست كالا از انبار با شماره 6268 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,نيكنام1,1405/04/09,08:36:28,موجوديت جديد,حسابداري,سند حسابداري,2811,1405/03/04,سند عمومي با شماره ثابت 2811 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/09,08:36:21,ورود موفق,,نشست,,,
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/09,08:35:51, ويرايش موجوديت,حسابداري,سند حسابداري,103,1405/01/05,سند عمومي با شماره ثابت 103 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,جلالي1,1405/04/09,08:35:06,موجوديت جديد,حسابداري,سند حسابداري,2810,1405/02/06,سند عمومي با شماره ثابت 2810 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,برزگررشتخواري,1405/04/09,08:35:02, ويرايش موجوديت,انبار,سند انبار,6267,1405/04/09,سند درخواست كالا از انبار با شماره 6267 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,08:34:53,موجوديت جديد,انبار,سند انبار,4903,1405/04/09,سند تاييد درخواست كالا با شماره 4903 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,برزگررشتخواري,1405/04/09,08:34:32,موجوديت جديد,انبار,سند انبار,6267,1405/04/09,سند درخواست كالا از انبار با شماره 6267 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:34:23, ويرايش موجوديت,انبار,سند انبار,4667,1405/03/17,سند درخواست كالا از انبار با شماره 4667 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرزانه1,1405/04/09,08:34:21, ويرايش موجوديت,خزانه داري,سند خزانه داري,348,1405/04/06,سند اعلاميه برداشت ريالي با شماره 348 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرزانه1,1405/04/09,08:34:13,موجوديت جديد,خزانه داري,سند خزانه داري,348,1405/04/09,سند اعلاميه برداشت ريالي با شماره 348 ذخيره شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,فاطمي2,1405/04/09,08:34:11,ورود موفق,,نشست,,,
,احداث راه پاسارگاد,1405,نباتي16,1405/04/09,08:33:54,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,نيكنام1,1405/04/09,08:33:52,موجوديت جديد,حسابداري,سند حسابداري,2809,1405/03/21,سند عمومي با شماره ثابت 2809 ذخيره شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/09,08:33:39, ويرايش موجوديت,حسابداري,سند حسابداري,1057,1404/12/28,سند عمومي با شماره ثابت 1057 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,08:33:17, ويرايش موجوديت,انبار,سند انبار,6266,1405/04/09,سند درخواست كالا از انبار با شماره 6266 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,غلامي,1405/04/09,08:33:06,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,برزگررشتخواري,1405/04/09,08:32:54,موجوديت جديد,انبار,سند انبار,2731,1405/04/09,سند حواله مصرف  با شماره 2731 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ارغواني1,1405/04/09,08:32:31,موجوديت جديد,انبار,سند انبار,4183,1405/04/07,سند حواله مصرف ماشين آلات با شماره 4183 ثبت شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/09,08:32:18, ويرايش موجوديت,حسابداري,سند حسابداري,1056,1404/12/28,سند عمومي با شماره ثابت 1056 ذخيره شد
,تفتان ره ساز پارس,1405,پوريامومني15,1405/04/09,08:31:23,موجوديت جديد,خزانه داري,سند خزانه داري,70,1405/03/22,سند صورت هزينه تنخواه با شماره 70 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سبزبان1,1405/04/09,08:31:21,موجوديت جديد,انبار,سند انبار,8445,1405/03/07,سند رسيد خريد  با شماره 8445 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/09,08:30:59, ويرايش موجوديت,انبار,سند انبار,1785,1405/03/24,سند حواله انتقال بين انبار با شماره 1785 ثبت شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/09,08:30:12, ويرايش موجوديت,حسابداري,سند حسابداري,1053,1404/12/28,سند عمومي با شماره ثابت 1053 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,08:29:58, ويرايش موجوديت,انبار,سند انبار,4667,1405/03/17,سند درخواست كالا از انبار با شماره 4667 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,احمدي1,1405/04/09,08:29:23, ويرايش موجوديت,انبار,سند انبار,1508,1405/03/18,سند رسيد انتقال بين انبار با شماره 1508 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,08:29:22,موجوديت جديد,خزانه داري,سند حسابداري,1062,1405/03/22,سند عمومي با شماره 1062 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,08:29:19,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,علي_اماني1,1405/04/09,08:29:04,موجوديت جديد,انبار,سند انبار,2730,1405/04/08,سند حواله مصرف  با شماره 2730 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,08:29:00,موجوديت جديد,خزانه داري,سند خزانه داري,276,1405/03/22,سند صورت هزينه تنخواه با شماره 276 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,08:28:43, ويرايش موجوديت,انبار,سند انبار,6254,1405/04/09,سند درخواست كالا از انبار با شماره 6254 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,كسري_دهقان1,1405/04/09,08:28:13,موجوديت جديد,حسابداري,سند حسابداري,2808,1405/01/26,سند عمومي با شماره ثابت 2808 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,دادرس3,1405/04/09,08:28:01, ويرايش موجوديت,خزانه داري,سند حسابداري,5739,1404/12/02,سند عمومي با شماره 5739 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/09,08:27:36,موجوديت جديد,انبار,سند انبار,1785,1405/03/24,سند حواله انتقال بين انبار با شماره 1785 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,08:27:21, ويرايش موجوديت,انبار,سند انبار,6265,1405/04/09,سند درخواست كالا از انبار با شماره 6265 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,دادرس3,1405/04/09,08:27:05, ويرايش موجوديت,خزانه داري,سند حسابداري,5698,1404/11/29,سند عمومي با شماره 5698 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,برزگررشتخواري,1405/04/09,08:26:52, ويرايش موجوديت,انبار,سند انبار,2729,1405/03/26,سند حواله مصرف  با شماره 2729 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:26:38,موجوديت جديد,انبار,سند انبار,4902,1405/04/09,سند تاييد درخواست كالا با شماره 4902 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,برزگررشتخواري,1405/04/09,08:26:10,موجوديت جديد,انبار,سند انبار,2729,1405/03/26,سند حواله مصرف  با شماره 2729 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,08:25:47, ويرايش موجوديت,انبار,سند انبار,6229,1405/04/08,سند درخواست كالا از انبار با شماره 6229 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,شماعيل زاده,1405/04/09,08:25:43,ورود موفق,,نشست,,,
,,,شماعيل زاده,1405/04/09,08:25:39,ورود ناموفق (عدم صحت نام کاربر يا کلمه عبور),,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,محمدرضا_سلمانيان,1405/04/09,08:25:25,ورود موفق,,نشست,,,
,كيهان ريل تهران,1405,نباتي19,1405/04/09,08:25:22, ويرايش موجوديت,حسابداري,سند حسابداري,1517,1404/07/01,سند عمومي با شماره 1517 تاييد شد
,كيهان ريل تهران,1405,نباتي19,1405/04/09,08:25:17, ويرايش موجوديت,حسابداري,سند حسابداري,1517,1404/07/01,سند عمومي با شماره ثابت 1517 ذخيره شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,جوانمرد5,1405/04/09,08:24:45,موجوديت جديد,حسابداري,سند حسابداري,107,1405/01/06,سند عمومي با شماره ثابت 107 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,مجتبي سابقي1,1405/04/09,08:23:55, ويرايش موجوديت,انبار,سند انبار,3007,1405/02/24,سند درخواست كالا از انبار با شماره 3007 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,تقيزاده3,1405/04/09,08:23:38, ويرايش موجوديت,حسابداري,سند حسابداري,3231,1404/06/31,سند عمومي با شماره ثابت 3231 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرزانه1,1405/04/09,08:23:19,ورود موفق,,نشست,,,
,تفتان ره ساز پارس,1405,پوريامومني15,1405/04/09,08:23:11,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,ارغواني1,1405/04/09,08:23:09,موجوديت جديد,انبار,سند انبار,4182,1405/04/26,سند حواله مصرف ماشين آلات با شماره 4182 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,محمدرضا_سلمانيان,1405/04/09,08:22:23,ورود موفق,,نشست,,,
,احداث راه پاسارگاد,1405,فاطمي,1405/04/09,08:22:20,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,08:22:13, ويرايش موجوديت,انبار,سند انبار,6265,1405/04/09,سند درخواست كالا از انبار با شماره 6265 ثبت شد
